identificador	opening_date	opening_date_new	imagenPositivaNegativaMacri	imagenPositivaNegativaVidal	imagenPositivaNegativaCristina	latLong	latitude	longitude
0	1962	0	2	2		-34.53872,-58.56215	-34.53872	-58.56215
1	1964	5	1	1	2	-34.6528113,-58.7973991	-34.6528113	-58.7973991
2	1965	10	2	2	2	47.587085723877,14.1412858963013	47.58708572	14.1412859
3	1967	15	2	2	1	-34.5999717712402,-58.7489395141602	-34.59997177	-58.74893951
4	1967	20	2	2	1	-34.4735075,-58.531558	-34.4735075	-58.531558
5	1968	25	1	1	2	-34.5197977,-58.7390159	-34.5197977	-58.7390159
6	1968	30	1	1	2	-34.50916,-58.48411	-34.50916	-58.48411
7	1968	35	1	1	2	-34.4954163,-58.4843041	-34.4954163	-58.4843041
9	1968	45	2	2	1	-34.6118969,-58.7925323	-34.6118969	-58.7925323
10	1969	50	2	1	2	-36.7448768615723,-73.1036605834961	-36.74487686	-73.10366058
12	1969	60	2			-34.6605212,-58.790422	-34.6605212	-58.790422
13	1969	65	1	1	2	-34.54099,-58.50746	-34.54099	-58.50746
14	1969	70	2	2		-34.60658,-58.77848	-34.60658	-58.77848
16	1970	80	2	2	1	-34.4962063,-58.5826315	-34.4962063	-58.5826315
17	1970	85	1	1	2	-34.6355590820312,-58.7493057250977	-34.63555908	-58.74930573
18	1970	90	1	1	2	-34.5248125,-58.7530998	-34.5248125	-58.7530998
19	1970	95	1	1	1	-36.8613147,-57.8888523	-36.8613147	-57.8888523
20	1971	100			2	-34.51831,-58.50569	-34.51831	-58.50569
21	1971	105		1	2	-34.6617969,-58.7725777	-34.6617969	-58.7725777
22	1971	110	2	2	1	-34.5255247,-58.7303223	-34.5255247	-58.7303223
23	1971	115	1	1	2	-34.45525,-58.59802	-34.45525	-58.59802
25	1971	125	2		1	-34.5754194,-58.5644071	-34.5754194	-58.5644071
26	1971	130	2	2	2	-34.61351,-58.81533	-34.61351	-58.81533
28	1971	140	1	1	2	-35.4884567,-62.9784009	-35.4884567	-62.9784009
29	1971	145	1	1	2	-34.527103,-58.5775288	-34.527103	-58.5775288
30	1971	150	1	1	2	-34.4024696350098,-58.6204795837402	-34.40246964	-58.62047958
31	1971	155	2	2	1	-34.3331176,-58.7792094	-34.3331176	-58.7792094
32	1971	160	2	2	2	-34.52142,-58.48006	-34.52142	-58.48006
33	1971	165	2	2	1	-34.5999717712402,-58.7489395141602	-34.59997177	-58.74893951
34	1971	170	2	2	2	-34.5465221,-58.544276	-34.5465221	-58.544276
35	1972	175	2	2	1	-34.5442976,-58.5580916	-34.5442976	-58.5580916
36	1972	180	2	2	2	-34.4786720275879,-58.528938293457	-34.47867203	-58.52893829
37	1972	185	2	2	1	-34.4906113,-58.5024646	-34.4906113	-58.5024646
39	1972	195	1	1	2	-34.507568359375,-58.5661888122559	-34.50756836	-58.56618881
40	1972	200	2		2	-34.55452,-58.51574	-34.55452	-58.51574
41	1972	205	2		2	-34.5229935,-58.7545105	-34.5229935	-58.7545105
42	1972	210	2			-34.623472,-58.8135631	-34.623472	-58.8135631
43	1972	215	2	2	1	-38.0018215,-57.5424984	-38.0018215	-57.5424984
44	1972	220	2	2	1	-34.6635,-58.78853	-34.6635	-58.78853
45	1972	225	1	1	2	-34.651836,-58.7624596	-34.651836	-58.7624596
46	1972	230	2	2	1	-34.5895242,-58.5187276	-34.5895242	-58.5187276
47	1972	235	2	2	1	-34.6559733,-58.7681419	-34.6559733	-58.7681419
49	1972	245	2	2	1	-34.63162,-58.79437	-34.63162	-58.79437
50	1972	250	1	1	2	-34.5927649,-58.5374448	-34.5927649	-58.5374448
51	1972	255	2	2	1	-34.5968709,-58.7396442	-34.5968709	-58.7396442
53	1973	265	2	2	1	-34.51225,-58.54745	-34.51225	-58.54745
55	1973	275	1	1	2	9.76622009277344,8.84539985656738	9.766220093	8.845399857
56	1973	280	2	2	1	13.7330055236816,-88.8665008544922	13.73300552	-88.86650085
57	1973	285	2	2	1	-34.6190277,-58.7808525	-34.6190277	-58.7808525
58	1973	290		2	2	-34.4004731,-58.7591761	-34.4004731	-58.7591761
59	1973	295	2	2	2	-34.5766889,-58.5667758	-34.5766889	-58.5667758
60	1973	300	2	2	1	31.70607,-106.48355	31.70607	-106.48355
61	1973	305	1	1	2	-34.4916944,-58.5129973	-34.4916944	-58.5129973
62	1973	310	1	1	2	-34.5100919,-58.4784273	-34.5100919	-58.4784273
63	1973	315	1	1	2	-34.485816,-58.5057498	-34.485816	-58.5057498
64	1973	320	2		1	-34.5010507,-58.5414422	-34.5010507	-58.5414422
65	1973	325	2	2	2	-35.4317177,-60.1842221	-35.4317177	-60.1842221
66	1973	330	2	2	1	-34.52243,-58.49618	-34.52243	-58.49618
67	1973	335	1	1	2	-34.4760622,-58.5196081	-34.4760622	-58.5196081
68	1973	340	1	1	2	-34.3901979,-58.8247706	-34.3901979	-58.8247706
69	1973	345	2	2		-34.74091,-58.24472	-34.74091	-58.24472
70	1973	350	2		1	-23.2419567108154,-58.392765045166	-23.24195671	-58.39276505
71	1974	355	1	1	2	-34.53959,-58.56108	-34.53959	-58.56108
72	1974	360	1	1	2	15.6961078643799,-90.3570938110352	15.69610786	-90.35709381
73	1974	365	2	1		-34.4111598,-58.6050367	-34.4111598	-58.6050367
74	1974	370	1	1	2	-34.3873924,-58.73276	-34.3873924	-58.73276
75	1974	375		1	2	-34.4133501,-58.690027	-34.4133501	-58.690027
76	1974	380		2		-34.6317051,-58.738826	-34.6317051	-58.738826
77	1974	385	2	1	2	-34.5271149,-58.5024284	-34.5271149	-58.5024284
78	1974	390	1	1	2	-34.6021318,-58.7338463	-34.6021318	-58.7338463
80	1974	400	1	1	2	-34.6619826,-58.8081169	-34.6619826	-58.8081169
81	1974	405	2	2	1	-34.6358758,-58.8640177	-34.6358758	-58.8640177
82	1974	410	1	1	1	-34.6343751,-58.8137566	-34.6343751	-58.8137566
83	1974	415	2			39.4686813354492,-0.376910001039505	39.46868134	-0.376910001
84	1974	420	1	1	2	-34.515966,-58.5382097	-34.515966	-58.5382097
85	1974	425	2			-34.548641204834,-58.5516815185547	-34.5486412	-58.55168152
86	1974	430	2	2	1	-34.5246315002441,-58.5462303161621	-34.5246315	-58.54623032
87	1974	435	1	1	2	-34.5132792,-58.4865163	-34.5132792	-58.4865163
88	1974	440	2	2	2	-34.542361,-58.5927108	-34.542361	-58.5927108
89	1974	445	1	1	2	-34.5490817,-58.5526817	-34.5490817	-58.5526817
90	1974	450	1		2	62.5360412597656,-96.3883514404297	62.53604126	-96.38835144
91	1974	455	1	1	2	-34.50901,-58.49405	-34.50901	-58.49405
92	1974	460		1	2	-34.5423733,-58.5046302	-34.5423733	-58.5046302
93	1974	465	2	2	1	-34.6046891,-58.7317423	-34.6046891	-58.7317423
94	1974	470	2	2	2	-34.5287,-58.57234	-34.5287	-58.57234
95	1974	475	2		2	-34.595894,-58.7414597	-34.595894	-58.7414597
96	1975	480	2		1	-34.5158581,-58.7641911	-34.5158581	-58.7641911
97	1975	485	2	2		-34.532798,-58.4861039	-34.532798	-58.4861039
98	1975	490	2	2	1	-34.53604,-58.53037	-34.53604	-58.53037
99	1975	495		1	2	-34.4827652,-58.4987986	-34.4827652	-58.4987986
102	1975	510	2	2	2	-34.4785065,-58.5560011	-34.4785065	-58.5560011
103	1975	515		1	2	-34.4771058,-58.4892011	-34.4771058	-58.4892011
104	1975	520	2	2	1	-34.5999717712402,-58.7489395141602	-34.59997177	-58.74893951
106	1975	530	1	1	2	9.76622009277344,8.84539985656738	9.766220093	8.845399857
107	1975	535	1	1	2	-34.51235,-58.52743	-34.51235	-58.52743
108	1975	540	2			-34.52505,-58.55587	-34.52505	-58.55587
109	1975	545	2	2	1	-34.5063236,-58.8115093	-34.5063236	-58.8115093
110	1975	550	2	2	1	-34.738002,-58.2471106	-34.738002	-58.2471106
111	1975	555	2	2	1	-34.548641204834,-58.5516815185547	-34.5486412	-58.55168152
113	1975	565	2	2	1	-34.5248333,-58.5477815	-34.5248333	-58.5477815
114	1975	570	2		1	-36.09381,-57.80687	-36.09381	-57.80687
116	1976	580	2	2	1	-37.9706409,-57.6107697	-37.9706409	-57.6107697
117	1976	585	2	2	1	-34.4539063,-58.5974054	-34.4539063	-58.5974054
118	1976	590	2		2	-34.5030125,-58.5144937	-34.5030125	-58.5144937
119	1976	595	2	2	1	-34.4567378,-58.6443695	-34.4567378	-58.6443695
120	1976	600	2	2	1	-34.3568265,-58.7913321	-34.3568265	-58.7913321
122	1976	610	1	1	2	-34.5351395,-58.4966082	-34.5351395	-58.4966082
124	1976	620	2	2	1	7.15698480606079,-66.2232437133789	7.156984806	-66.22324371
126	1976	630	2	2		-34.5016791,-58.6240963	-34.5016791	-58.6240963
127	1976	635	1	1	2	-34.386473,-58.7367258	-34.386473	-58.7367258
129	1976	645	2	2	1	-34.52196,-58.50191	-34.52196	-58.50191
131	1976	655	1	1	2	-34.52041,-58.48211	-34.52041	-58.48211
132	1976	660	1	1	2	-34.478093,-58.5257562	-34.478093	-58.5257562
133	1976	665	1	1	2	-34.4562648,-58.6058597	-34.4562648	-58.6058597
134	1976	670		2	1	-34.4917094,-58.504697	-34.4917094	-58.504697
135	1976	675	2	2	1	-34.5758008,-58.5806551	-34.5758008	-58.5806551
136	1976	680	2	2	2	-34.5063226,-58.5461375	-34.5063226	-58.5461375
137	1976	685	1	1	2	-34.5467491149902,-58.5014991760254	-34.54674911	-58.50149918
138	1976	690	2			-34.53969,-58.49376	-34.53969	-58.49376
139	1976	695	1	1	2	-34.51421,-58.50229	-34.51421	-58.50229
140	1976	700	2	2		9.76622009277344,8.84539985656738	9.766220093	8.845399857
142	1977	710	2	2	1	-34.6556364,-58.759043	-34.6556364	-58.759043
143	1977	715	1	1	2	-34.4673917,-58.5126838	-34.4673917	-58.5126838
144	1977	720	1	1	2	-34.590984,-58.5217253	-34.590984	-58.5217253
145	1977	725	1	1	1	-34.5901755,-58.741049	-34.5901755	-58.741049
146	1977	730			2	-34.4978564,-58.4968461	-34.4978564	-58.4968461
147	1977	735		1	2	-34.4553382,-58.5308502	-34.4553382	-58.5308502
148	1977	740	2	2	1	-34.5138389,-58.5336443	-34.5138389	-58.5336443
149	1977	745	1	1	2	9.76622009277344,8.84539985656738	9.766220093	8.845399857
150	1977	750	2		2	-34.4183704,-58.7527752	-34.4183704	-58.7527752
151	1977	755	2		1	-34.5305393,-58.4803294	-34.5305393	-58.4803294
152	1977	760	2	2	2	-34.5089661,-58.4843703	-34.5089661	-58.4843703
153	1977	765		1	2	-37.66572,-59.40523	-37.66572	-59.40523
154	1977	770	1	1	2	-34.5292816162109,-58.5362586975098	-34.52928162	-58.5362587
156	1977	780	1	1	2	-34.4550094604492,-58.6359901428223	-34.45500946	-58.63599014
157	1977	785	2	2	1	-34.5295235,-58.4703142	-34.5295235	-58.4703142
158	1977	790	2	2	2	-34.4937052,-58.6334294	-34.4937052	-58.6334294
159	1977	795	2	2	1	-34.33439,-58.85462	-34.33439	-58.85462
160	1977	800	2	2	2	-34.4742964,-58.5196554	-34.4742964	-58.5196554
161	1977	805	2	2	1	-34.5096412,-58.741185	-34.5096412	-58.741185
162	1977	810	2	2	2	-34.528106,-58.7546523	-34.528106	-58.7546523
